station_name,station_full_name,station_zone,average_delay,median_delay,total_records
CNBI,CHANDARI,NCR,31.97943797121316,23.0,1459
CNC,CHINCHLI,SWR,16.196331930246544,10.0,3326
CND,CHANDUR,CR,54.00474006116208,24.0,6540
CNDB,CHANDUR BAZAR,CR,25.17836894897514,12.0,2293
CNDI,CHANDI,ECR,48.965800273597814,18.0,731
CNDM,CHANDI MANDIR,NR,26.975550122249388,5.0,2454
CNDN,CHANDAN,ER,21.416,9.0,1250
CNE,CHANDRANATHPUR,NFR,49.910714285714285,38.0,728
CNF,CHIANKI,ECR,79.96021038188886,63.0,4373
CNGR,CHENGANNUR,SR,28.740506013274114,17.0,20039
CNH,CHAUNRAH,NCR,57.740046838407494,40.0,1281
CNI,CHANDIL JN,SER,55.811755361397935,27.0,11331
CNJ,CHANDER NAGAR H,NR,26.48816878424059,16.0,8579
CNK,CHANDOK,NR,38.35443843461661,25.0,3143
CNKH,CHINNAKOTE HALT,SWR,7.929102422907489,0.0,7264
CNKP,CHANAKYAPURI,NR,0.0,0.0,149
CNL,CHANDAWAL,NWR,6.0795297372060855,3.0,1446
CNN,CHINTAMAN GANESH,WR,10.215564738292011,8.0,1452
CNO,CANCONA,KR,30.960917144346013,21.0,3838
CNPA,CHANNARAYAPATNA,SWR,23.358677286990105,22.0,4143
CNPI,CHANDANPAHARI,ER,18.14670932358318,10.0,2188
CNPR,CHAINPUR,ECR,72.22683596431023,60.0,2914
CNR,CHANDAR,SWR,13.528811830698624,12.0,1961
CNRF,CHANDRA,SER,3.4014992503748127,0.0,3335
CNS,CHUCHURA,ER,17.22854954034729,14.0,3916
CNV,KINATTUKKADAVU,SR,6.835682641965365,3.0,2483
CNX,CHANDAUNA H,ECR,68.39380652233488,50.0,3649
COA,KAKINADA PORT,SCR,-0.41822056473095365,0.0,3754
COB,COOCH BEHAR,NFR,35.133462282398455,11.0,2068
COD,CHHOTA GUDHA,NWR,12.336529680365297,7.0,2190
COE,CHITROD,WR,18.854570637119114,15.0,722
COL,COROMANDEL,SWR,6.875275330396476,0.0,7264
COM,CHOMUN SAMOD,NWR,13.374461979913917,7.0,6273
COO,CHHOTI ODAI,WCR,31.43672910004568,27.0,2189
COR,CHITTAURGARH,WR,7.069669556476945,2.0,15918
CPA,KANPUR ANWRGANJ,NCR,24.88547792285458,2.0,10033
CPB,KANPUR BRIDGE RB,NR,42.00615069195285,23.0,5853
